brand,model,year,mileage,capacity,power,price,type
Zontes,125U,2025.0,1.0,1253.0,15.0,13999.0,Motorcycle
Zipp,Inny,2026.0,1.0,1203.0,7.0,4499.0,Motorcycle
Triumph,Tiger,2022.0,44200.0,6603.0,80.0,23900.0,Motorcycle
BMW,GS,2026.0,1.0,8953.0,105.0,72900.0,Motorcycle
MRF,Inny,2025.0,1.0,1403.0,0.0,5889.0,Motorcycle
ASIX,XB-88 250cc,2025.0,1.0,2503.0,0.0,7999.0,Motorcycle
KAYO,K2,2025.0,1.0,2503.0,0.0,7789.0,Motorcycle
CFMoto,CForce,2026.0,1.0,5003.0,40.0,29900.0,Motorcycle
KAYO,Inny,2026.0,1.0,1403.0,0.0,6499.0,Motorcycle
KAYO,Inny,2026.0,1.0,703.0,0.0,3499.0,Motorcycle
KAYO,K2 PRO,2026.0,1.0,2493.0,0.0,8999.0,Motorcycle
KAYO,Inny,2026.0,1.0,1253.0,0.0,5999.0,Motorcycle
Barton,Inny,2025.0,1.0,1253.0,0.0,4899.0,Motorcycle
Barton,Raptor,2025.0,1.0,1253.0,0.0,5499.0,Motorcycle
Barton,Inny,2025.0,1.0,1253.0,0.0,5600.0,Motorcycle
Segway,Snarler AT6,2026.0,1.0,5703.0,44.0,34990.0,Motorcycle
Barton,Raze,2025.0,1.0,2003.0,0.0,8699.0,Motorcycle
Talaria,Sting L1e,2026.0,1.0,0.0,24.0,34900.0,Motorcycle
BMW,CE 04,2022.0,2187.0,0.0,15.0,38890.0,Motorcycle
CFMoto,CForce,2025.0,1.0,8003.0,75.0,42900.0,Motorcycle
Kawasaki,Versys 650,2025.0,2282.0,6493.0,67.0,39000.0,Motorcycle
Zipp,Inny,2026.0,1.0,1203.0,7.0,4299.0,Motorcycle
BMW,Inny,2001.0,25266.0,12003.0,0.0,29800.0,Motorcycle
Barton,NXT,2025.0,1.0,1503.0,12.0,5699.0,Motorcycle
Piaggio,Liberty,2026.0,1.0,1253.0,11.0,11990.0,Motorcycle
Yamaha,WR,2016.0,16375.0,1243.0,15.0,14700.0,Motorcycle
BMW,R,2025.0,2168.0,11703.0,109.0,79900.0,Motorcycle
KOVE,800X Touring,2026.0,1.0,7993.0,95.0,42900.0,Motorcycle
Honda,CMX,2026.0,1.0,4713.0,47.0,30500.0,Motorcycle
Goes,Terrox,2025.0,0.0,9633.0,90.0,45900.0,Motorcycle
Can-Am,Inny,2026.0,1.0,10003.0,82.0,117900.0,Motorcycle
